Dialogue ID,Turn,Teacher,Student,Correct,Prob,KC Probs,Dialogue Acc.,KCs,Notes
0,1,"Hi Mariana, please talk me through your solution","Sure. I started by letting x be the number of spoons Julia bought. Then I added 5 to x to get the total number of spoons. Next, I subtracted 3 from the total number of spoons to get the number of spoons left. Finally, I set up an equation and solved for x, which was 4. So Julia bought a package of 4 spoons.",na,--,--,0.0000,None,
0,2,Okay -  you've overcomplicated this. Let's start again. We know Julia has 12 spoons when setting the table. We also know she used three whilst sampling her stew. How many is that altogether?,12 - 3 = 9. So Julia had 9 spoons left when setting the table.,False,--,--,0.0000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
0,3,"No, you need to add as she still has the spoons, 3 have just been used","Oh, right. 12 + 3 = 15. So Julia had 15 spoons altogether. And since her husband gave her 5 spoons, she must have bought 10 spoons.",true,0.4297,"0.3594, 0.5000",0.0000,"1) Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).
2) Fluently add and subtract within 20 using mental strategies. (See standard 1.OA.6 for a list of mental strategies.) By end of Grade 2, know from memory all sums of two one-digit numbers.",
0,4,"Yes, that's it",So Julia bought a package of 10 spoons.,na,--,--,0.0000,None,
,,,,,,,,,
1,1,"Hi Ayisha, please talk me through your solution","I started by noting that the first bid was $200 and each subsequent bid was $50 more, so the second bid was $200 + $50 = $250, the third bid was $250 + $50 = $300, and the fourth bid was $300 + $50 = $350. Then I realized that Carmen bid after each of the other 3 people, so she made 3 bids in total. Therefore, I concluded that the desk cost her $350, since that was her winning bid.",na,--,--,1.0000,None,
1,2,"Okay, let's start again. If each bid adds $50 to the price and there were 3 bids - how much is added to the overall cost?","The overall cost is increased by $150, since each bid adds $50 and there were 3 bids.",true,--,--,1.0000,"1) Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.
2) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
1,3,Yes $150. Carmen adds a $50 bid after each of the three bids. How much more does this add to the cost?,"This adds an additional $150, since each bid is $50 and there were 3 bids. Therefore, the total cost of the desk is $350.",False,0.1768,"0.1680, 0.1855",1.0000,"1) Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.
2) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
1,4,3 x 50 is 150. So it adds a further $150 making the total so far $300,"Yes, that's correct. The total cost of the desk is $350, since the first bid was $200 and each subsequent bid was $50 more, so the final bid was $300 + $50 = $350.",False,0.1562,"0.1680, 0.1445",1.0000,"1) Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.
2) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
1,5,"No, go back and check what we said. The 3 bids $150 + Carmen's Bid $150 + the opening bid $200","Yes, you're right. The total cost of the desk is $350, since the opening bid was $200, the 3 bids added $150, and Carmen's bid added an additional $150, making the total $200 + $150 + $150 = $350.",False,0.1289,0.1289,1.0000,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
