Dialogue ID,Turn,Teacher,Student,Correct,Prob,KC Probs,Dialogue Acc.,KCs,Notes
756,1,"Hi Alejandra, can you talk me through your workings?","Sure, I started by figuring out that the second floor's storage space was 5000 square feet because it was filled one-quarter of the way. Then, I multiplied that by two to get the first floor's storage space, which was 10000 square feet. Then, I multiplied the second floor's storage space by four to get the total storage space, which was 20000 square feet. Finally, I subtracted the 5000 square feet that was filled by the boxes from the total storage space to get the remaining storage space, which was 15000 square feet.",na,--,--,0.7500,None,
756,2,"Okay, I can see you have correctly identified that the second floor has 20,000 square feet. Can you remind me how much bigger the first floor is compared to the second?","Yes, the first floor is twice as big as the second floor, so it has 10,000 square feet of storage space.",False,--,--,0.7500,"1) Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
756,3,"So you are saying that the first floor is 20,000 x 2 = 10,000?","Yes, that's correct. The first floor has 10,000 square feet of storage space and the second floor has 5000 square feet of storage space.",False,0.2021,"0.2021, 0.2021",0.7500,"1) Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
756,4,"Not quite. If the second floor has 20,000 square feet available, we would need to double this for the first floor (as the first floor of the building contains twice as much floor space for storage as the second floor)","Oh, that's right. So the first floor has 20,000 x 2 = 40,000 square feet of storage space and the second floor has 20,000 square feet of storage space. Then, subtracting the 5000 square feet that was filled by the boxes from the total storage space, we get 40,000 - 5000 = 35,000 square feet of storage space still available in the building.",False,0.6641,"0.6797, 0.6523",0.7500,"1) Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
756,5,"Nearly, so if the first floor has 40,000 and the second floor has 20,000, whats the total square footage available?","The total square footage available is 40,000 + 20,000 = 60,000 square feet. Then, subtracting the 5000 square feet that was filled by the boxes from the total storage space, we get 60,000 - 5000 = 55,000 square feet of storage space still available in the building.",true,0.6094,"0.5938, 0.6211",0.7500,"1) Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.
2) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
756,6,"Good, well done, can you tell me where you were going wrong?","I was incorrectly multiplying the second floor's storage space by four instead of two, which resulted in double counting the first floor's storage space.",true,0.8164,0.8164,0.7500,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
,,,,,,,,,
2047,1,"Hi Lakisha, you've made a good start on this!  Have another look though.  How much do 4 creeping jennies cost?","4 creeping jennies cost $4.00 each, so the total cost for 4 creeping jennies will be 4 x $4.00 = $16.00.",true,--,--,0.7778,"1) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
2047,2,That's correct - do you see the mistake you made?,"Yes, I realized that I had multiplied the cost of each plant instead of adding them together. The cost of each planter should be $15.00 + $4.00 + $3.50 = $22.50. So the total cost for all the pots would be 36 x $22.50 = $810.",False,0.6211,0.6211,0.7778,"1) Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",
2047,3,"That's not quite right but good try!  Check the cost of each planter again.  Add up the cost of 1 fern, 4 creeping jennies and 4 geraniums.","Yes, the cost of each planter should be 1 x $15.00 + 4 x $4.00 + 4 x $3.50 = $22.50. So the total cost for all the pots would be 36 x $22.50 = $810.",False,0.4375,0.4375,0.7778,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
2047,4,"You said earlier that 4 creeping jennies cost $16, so can you factor this in?","Yes, the cost of each planter should be 1 x $15.00 + 4 x $4.00 + 4 x $3.50 = $22.50. So the total cost for all the pots would be 36 x $22.50 = $810.00.",False,0.1826,0.1826,0.7778,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
2047,5,Not quite. Have you included 4 creeping jennies in each pot and 4 geraniums?,"Yes, the cost of each planter should be 1 x $15.00 + 4 x $4.00 + 4 x $3.50 = $22.50. So the total cost for all the pots would be 36 x $22.50 = $810.00.",False,0.2227,0.2227,0.7778,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
2047,6,Did you include all plants?,"Yes, the cost of each planter includes 1 palm fern, 4 creeping jennies, and 4 geraniums, so a total of 1+4+4 = 9 plants per planter. Therefore, the cost of filling all the pots will be 36 x $22.50 = $810.00.",False,0.1484,0.1484,0.7778,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
2047,7,No - you haven't included all the plants.  The cost of all the plants for 1 planter is $45.  Can you take it from here?,"Yes, the cost of each planter includes 1 palm fern, 4 creeping jennies, and 4 geraniums, so a total of 1 x $15.00 + 4 x $4.00 + 4 x $3.50 = $45.00. Therefore, the total cost for all the pots will be 36 x $45.00 = $1,620.00.",False,0.1826,0.1826,0.7778,"1) Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",
2047,8,"Why did you multiply that by 36?  We know how much one planter is, so how much are 4 planters?","4 planters will cost 4 x $45.00 = $180.00. Therefore, the total cost for all the pots will be 4 x $180.00 = $1,620.00.",False,0.5312,0.5312,0.7778,"1) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
2047,9,"If one planter is $45, how much are 4 planters?","4 planters will cost 4 x $45.00 = $180.00. Therefore, the total cost for all the pots will be 4 x $180.00 = $1,620.00.",False,0.4082,0.4082,0.7778,"1) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
2047,10,"No, I asked what is $45 x 4?","4 planters will cost 4 x $45.00 = $180.00. Therefore, the total cost for all the pots will be 4 x $180.00 = $1,620.00.",False,0.4375,0.4375,0.7778,"1) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
,,,,,,,,,
1381,1,"Hi Ayisha, could you talk me through your solution?","Sure! So I started by saying that if Andy has x black socks, then he has 4x white socks. Then I said that if he loses half his white socks, he will have 2x white socks. After that, I said that if he has 6 black socks, then he has 2x = 4 white socks. Finally, I said that he has 4-6 = -2 fewer white socks than black socks, so the answer is 0.",na,--,--,0.5000,None,
1381,2,I can see you have over complicated this and got a bit confused. Are you able to tell me how many black socks Andy has?,"Yes, Andy has 6 black socks.",true,--,--,0.5000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
1381,3,"Good, so how many white socks does Andy have?","Andy has 24 white socks. He loses half of them, so he still has 12 white socks. That means he has 12 more white socks than black socks.",true,0.6523,"0.6523, 0.6523",0.5000,"1) Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7.
2) Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",
1381,4,"Yes he has 24, and loses half. so he has 12 white socks left. But what does the question require you to work out?","The question requires me to work out how many more white socks Andy has than black socks, which is 12.",true,0.8438,"0.8359, 0.8516",0.5000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
1381,5,That's not quite the answer. It does require you to work out 'how many more white socks Andy has than black socks'. Try again,"Oh, I see. The answer is 12 more white socks than black socks. So Andy has 12 more white socks than black socks.",False,0.8281,"0.8164, 0.8359",0.5000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
1381,6,Not quite no. He has 12 white socks left and 6 black socks- how many 'more' white socks does he have?,"Oh, I see. He has 12 more white socks than black socks, so the answer is 12.",False,0.8594,"0.8672, 0.8516",0.5000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
1381,7,No. the answer is 6. He has 6 more white socks than black,"Oh, I see. He has 6 more white socks than black socks, so the answer is 6.",na,--,--,0.5000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
,,,,,,,,,
915,1,"Hi Alejandra, could you tell me why you have counted Javier's legs twice? Can you look through your solution to identify this?","Yes, I can. I counted Javier's legs twice because I added both 2+2 and 2 in my solution. I should have just added 2+2 = 4 for Javier's legs.",true,--,--,0.5000,"1) Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 – 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.
2) Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",
915,2,Did you need to add his legs twice? he is human?,"No, I didn't need to add his legs twice. Javier is human, so he only has two legs.",true,0.5469,"0.5625, 0.5312",0.5000,"1) Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.
2) Apply properties of operations as strategies to add and subtract. (Students need not use formal terms for these properties.) Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.)",
915,3,So could you tell me what you need to do to 24 (your answer) to get the correct answer?,"To get the correct answer, I need to subtract 4 from 24, since I counted Javier's legs twice. So the correct answer is 24 - 4 = 20.",False,0.3633,"0.3496, 0.3770",0.5000,"1) Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).
2) Fluently add and subtract within 20 using mental strategies. (See standard 1.OA.6 for a list of mental strategies.) By end of Grade 2, know from memory all sums of two one-digit numbers.",
